player_name,country,points,position,instagram_followers,youtube_subscribers,tiktok_followers,twitter_followers,wikipedia_views,gender,total_matches,total_wins,total_games_won,total_games_lost,tournaments_played,years_active,avg_round,max_round,matches_3set,avg_dominance,win_rate,game_diff,clutch_rate,wr_early,wr_mid,wr_late,wr_major,wr_p1,wr_p2,unique_partners,partner_loyalty,trajectory_slope,pts_growth,pos_improvement,gender_enc,country_enc,total_social,log_social,log_points,cluster,cluster_gmm,cluster_hier,segment
Omar Althagib,KSA,1,2689,0.0,0.0,0.0,0.0,0.0,homme,1.0,0.0,1.0,12.0,1.0,1.0,1.0,1.0,0.0,-0.8461538461538461,0.0,-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,54,0.0,0.0,0.6931471805599453,1,0,3,Newcomers
Javier Ignacio Cuadra Campusano,CHI,1,2689,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,0.0,0.0,0.6931471805599453,1,2,3,Newcomers
Mariano Solano,CHI,1,2689,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,0.0,0.0,0.6931471805599453,1,2,3,Newcomers
Maxime Moreau,FRA,1,2689,0.0,0.0,0.0,0.0,0.0,homme,3.0,0.0,33.0,42.0,2.0,2.0,1.3333333333333333,2.0,0.0,-0.12,0.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,-881.0,-435.0,-2643.0,1,33,0.0,0.0,0.6931471805599453,1,1,0,Newcomers
Marcos Felipe Guerra Alvarez,CHI,1,2689,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,0.0,0.0,0.6931471805599453,1,2,3,Newcomers
Cristobal Matias Zamorano Lopez,CHI,1,2689,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,0.0,0.0,0.6931471805599453,1,2,3,Newcomers
Patricio LeÃ³n Ancares,CHI,1,2689,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,0.0,0.0,0.6931471805599453,1,2,3,Newcomers
Abdulaziz Alyafei,QAT,1,2689,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,80,0.0,0.0,0.6931471805599453,1,2,3,Newcomers
Sebastian Burgos,CHI,1,2689,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,0.0,0.0,0.6931471805599453,1,2,3,Newcomers
Giovanny Avello,CHI,1,2689,0.0,0.0,0.0,0.0,0.0,homme,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,0.0,0.0,0.6931471805599453,1,2,3,Newcomers
