player_name,country,points,position,year,instagram_followers,youtube_subscribers,tiktok_followers,twitter_followers,wikipedia_views,fact_player_pk
Ãlvaro MÃ©lendez Amaya,ESP,3,629,2024,no verified account,no verified account,no verified account,no verified account,no verified account,109
Albin Olsson,SWE,3,52,2024,no verified account,no verified account,no verified account,no verified account,no verified account,110
Federico MouriÃ±o,ARG,2,775,2024,no verified account,no verified account,no verified account,no verified account,no verified account,111
Javier Rodriguez Marquez,ESP,2,140,2024,no verified account,no verified account,no verified account,no verified account,no verified account,112
Ignacio Sager,ESP,0,968,2024,72116,6677,7486,8578,1199,113
Salva Oria,ESP,0,968,2024,no verified account,no verified account,no verified account,no verified account,no verified account,114
Albert Trillas Garcia,ESP,1843,19,2024,no verified account,no verified account,no verified account,no verified account,no verified account,115
Gianmarco Gherardi,ITA,1019,6,2024,no verified account,no verified account,no verified account,no verified account,no verified account,116
Pedro Navas Platero,ESP,866,7,2024,no verified account,no verified account,no verified account,no verified account,no verified account,117
Juan Ignacio Balzola Galvani,ARG,791,37,2024,no verified account,no verified account,no verified account,no verified account,no verified account,118
Yoan Boronad,FRA,716,32,2024,no verified account,no verified account,no verified account,no verified account,no verified account,119
Marco Mismetti,ITA,585,31,2024,no verified account,no verified account,no verified account,no verified account,no verified account,120
Timeo Fonteny,FRA,531,32,2024,no verified account,no verified account,no verified account,no verified account,no verified account,121
Dorian De Meyer,FRA,453,23,2024,no verified account,no verified account,no verified account,no verified account,no verified account,122
Guillem Figuerola Santiago,ESP,408,60,2024,no verified account,no verified account,no verified account,no verified account,no verified account,123
Vasileios Sioulis,GRC,393,9,2024,no verified account,no verified account,no verified account,no verified account,no verified account,124
Philemon Raichman,FRA,371,85,2024,no verified account,no verified account,no verified account,no verified account,no verified account,125
Hugo Garcia Martinez,ESP,329,20,2024,no verified account,no verified account,no verified account,no verified account,no verified account,126
Xander Aue,NLD,319,35,2024,no verified account,no verified account,no verified account,no verified account,no verified account,127
Adrian Martinez Galindo,ESP,302,30,2024,no verified account,no verified account,no verified account,no verified account,no verified account,128
Alvaro Lopez Luque,ESP,298,10,2024,no verified account,no verified account,no verified account,no verified account,no verified account,129
Ruben Rivera,ESP,266,90,2024,no verified account,no verified account,no verified account,no verified account,no verified account,130
Nacho Moragues MoltÃ²,ESP,258,59,2024,no verified account,no verified account,no verified account,no verified account,no verified account,131
Victor Ortega Garcia,ESP,255,80,2024,no verified account,no verified account,no verified account,no verified account,no verified account,132
Nicolai Maniucov Maniucova,ESP,238,52,2024,no verified account,no verified account,no verified account,no verified account,no verified account,133
Rayane Akram Hamou,DZA,226,33,2024,no verified account,no verified account,no verified account,no verified account,no verified account,134
Pablo Pastor Landaburu,ESP,221,56,2024,no verified account,no verified account,no verified account,no verified account,no verified account,135
Adrien Maigret,FRA,220,31,2024,no verified account,no verified account,no verified account,no verified account,no verified account,136
Luis Pozo Carballo,ESP,213,111,2024,no verified account,no verified account,no verified account,no verified account,no verified account,137
Eduardo Herrero Del Riego,ESP,213,78,2024,no verified account,no verified account,no verified account,no verified account,no verified account,138
Thomas Vanbauce,FRA,208,48,2024,no verified account,no verified account,no verified account,no verified account,no verified account,139
Cayetano Rocafort Lores,ESP,201,31,2024,no verified account,no verified account,no verified account,no verified account,no verified account,140
Maxime Joris,FRA,199,48,2024,no verified account,no verified account,no verified account,no verified account,no verified account,141
Adam Axelsson,SWE,193,129,2024,no verified account,no verified account,no verified account,no verified account,no verified account,142
Diego Dorta Diaz,ESP,191,95,2024,no verified account,no verified account,no verified account,no verified account,no verified account,143
Victor Tur Checa,ESP,189,118,2024,no verified account,no verified account,no verified account,no verified account,no verified account,144
Bart Van Opstal,NLD,185,33,2024,no verified account,no verified account,no verified account,no verified account,no verified account,145
Bram Meijer,NLD,177,141,2024,no verified account,no verified account,no verified account,no verified account,no verified account,146
Michele Bruno,ITA,172,137,2024,no verified account,no verified account,no verified account,no verified account,no verified account,147
Javier Rodriguez Marquez,ESP,166,274,2024,no verified account,no verified account,no verified account,no verified account,no verified account,148
